id,tipo_de_servicio,sede,objeto_de_la_atencion,full_address,calle,numero_exterior,numero_interior,colonia,codigo_postal,alcaldia,referencias_de_ubicacion,horario_de_atencion_horas,dias_de_atencion,correo_electronico,telefono_1,extension_1,telefono_2,extension_2,latitude,longitude,numero_consecutivo,coordenadas
0,Coordinación Territorial,AO-1  y AO-2,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Batallon de San Patricio S/N S/N Cristo Rey  Álvaro Obregón 01150 CDMX,Batallon de San Patricio,S/N,S/N,Cristo Rey,1150,Álvaro Obregón,Entre Av. De las Torres y Calle 10,24 hrs.,Lunes-Domingo,S/C,5200 9573,S/N,S/N,,19.3902416,-99.2003284,1,"19.3902416,-99.2003284"
1,Coordinación Territorial,BJ-1 y BJ-2,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Avenida División del Norte 1611 S/N Santa Cruz Atoyac Benito Juárez 03310 CDMX,Avenida División del Norte,1611,S/N,Santa Cruz Atoyac,3310,Benito Juárez,Frente al Parque de los Venados,24 hrs.,Lunes-Domingo,alexenrique_olvera@fgjcdmx.gob.mx,5200 9500,S/N,5200 9503,S/N,19.3720433,-99.1579611,6,"19.3720433,-99.1579611"
2,Coordinación Territorial,BJ-3 y BJ-4,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Avenida Cuauhtémoc esquina Obrero Mundial S/N S/N Navarte Benito Juárez 03020 CDMX,Avenida Cuauhtémoc esquina Obrero Mundial,S/N,S/N,Navarte,3020,Benito Juárez,Frente a Parque Delta,24 hrs.,Lunes-Domingo,matilder_caldelas@fgjcdmx.gob.mx,5200 9626,S/N,5200 9617,S/N,19.4018736,-99.1556199,7,"19.4018736,-99.1556199"
3,Coordinación Territorial,COY-1,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Zompantitla Esq. Tecualiapan  S/N S/N Romero de Terreros Coyoacán 04310 CDMX,Zompantitla Esq. Tecualiapan,S/N,S/N,Romero de Terreros,4310,Coyoacán,A una calle de Miguel Angel de Quevedo,24 hrs.,Lunes-Domingo,S/C,5520 09385,9385,S/N,,19.3443055,-99.1668489,9,"19.3443055,-99.1668489"
4,Coordinación Territorial,COY-2,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Zompantitla Esq. Tecualiapan  S/N S/N Romero de Terreros Coyoacán 04310 CDMX,Zompantitla Esq. Tecualiapan,S/N,S/N,Romero de Terreros,4310,Coyoacán,A una calle de Miguel Angel de Quevedo,24 hrs.,Lunes-Domingo,S/C,5521 09385,9385,S/N,,19.3443055,-99.1668489,10,"19.3443055,-99.1668489"
5,Coordinación Territorial,COY-3,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Apaches Esq. Eje 3 Ote S/N S/N San Francisco Culhuacan Coyoacán 14680 CDMX,Apaches Esq. Eje 3 Ote,S/N,S/N,San Francisco Culhuacan,14680,Coyoacán,A una cuadra del ESIME Culhuacan,24 hrs.,Lunes-Domingo,S/C,5200 9373,9373,S/N,,19.3330768,-99.1164618,11,"19.3330768,-99.1164618"
6,Coordinación Territorial,CUH-8,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Calle Chimalpopoca 100 S/N Obrera Cuauhtémoc 06800 CDMX,Calle Chimalpopoca,100,S/N,Obrera,6800,Cuauhtémoc,Cerca metro Isabel la Católica,24 hrs.,Lunes-Domingo,S/C,5346 8714,S/N,5578 3068,S/N,19.4227001,-99.1372373,23,"19.4227001,-99.1372373"
7,Coordinación Territorial,GAM-1,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,"Emiliano Zapata y Guadalupe Victoria S/N S/N Cuautepec, Barrio Bajo Gustavo A. Madero 07200 CDMX",Emiliano Zapata y Guadalupe Victoria,S/N,S/N,"Cuautepec, Barrio Bajo",7200,Gustavo A. Madero,Cerca de la laguna de el arbolillo,24 hrs.,Lunes-Domingo,S/C,5346 8062,S/N,5346 8066,S/N,19.5431493,-99.1384273,24,"19.5431493,-99.1384273"
8,Coordinación Territorial,IZC-2,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,"Avenida Té, esquina Sur 157  S/N S/N Gabriel Ramos Millán  Iztacalco 08730 CDMX","Avenida Té, esquina Sur 157",S/N,S/N,Gabriel Ramos Millán,8730,Iztacalco,Frente a la Alcaldía Iztacalco,24 hrs.,Lunes-Domingo,S/C,5200 9422,S/N,S/N,,19.3963774,-99.0952018,33,"19.3963774,-99.0952018"
9,Coordinación Territorial,IZP-7,Las Coordinaciones territoriales buscan facilitar la toma de desiciones y la planeación. Están integradas por un representante de la Jefatura de Gobierno; un representante de la Alcaldía; un representante de la Secretaría de Seguridad Ciudadana de la CDMX en la circunscripción; un representante de la FGJ (responsable de la Agencia del MP y de la Policía de Investigación en la circunscripción); un representante de Participación Ciudadana de SIBISO; por un representante de la Consejería Jurídica y Servicios Legales a través del Juez Cívico correspondiente; y por la Secretaría de Salud a través del Médico Legista adscrito a la circunscripción territorial.,Avenida San Lorenzo 310 S/N San Nicolás Tolentino Iztapalapa 09850 CDMX,Avenida San Lorenzo,310,S/N,San Nicolas Tolentino,9850,Iztapalapa,A un costado del Panteon San Lorenzo,24 hrs.,Lunes-Domingo,S/C,5645 5690,5690,5613 9751,S/N,19.3290562,-99.0754643,39,"19.3290562,-99.0754643"
